query_id,family,persona,turn,pair_id,fid,k,gt,pdp_rel,pdp_dec,flagged,verrs,obligations,off_rel,menu_rel,r3only_rel
A0471,F2,S_DIV:E_S_DIV,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0472,F2,H_GRP:E_H_GRP,0,,G02-00467,5,withhold,0,DENY,1,0,,1,0,0
A0473,F2,F_SEC:E_F_SEC,0,,G05-00470,5,withhold,0,DENY,1,0,,1,0,0
A0474,F2,C_CC:E_C_CC,0,,G04-00084,5,withhold,0,DENY,1,0,,1,0,0
A0475,F2,S_DEP:E_S_DEP,0,,G02-00467,5,withhold,0,DENY,1,0,,1,0,0
A0476,F2,F_DW:E_F_DW,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0477,F2,H_HRO:E_H_HRO,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0478,F2,F_PAY:E_F_PAY,0,,G04-00084,5,withhold,0,DENY,1,0,,1,0,0
A0479,F3,S_ACC:E_S_ACC,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0480,F3,B_RHQ:E_B_RHQ,0,,G05-00470,5,withhold,0,DENY,0,0,,1,1,0
A0481,F3,C_CC:E_C_CC,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0482,F3,S_DEP:E_S_DEP,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0483,F3,C_CC:E_C_CC,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0484,F3,F_DW:E_F_DW,0,,G05-00083,5,withhold,0,DENY,0,0,,1,0,0
A0485,F3,H_HRO:E_H_HRO,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0486,F3,S_ACC:E_S_ACC,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0487,F3,B_RHQ:E_B_RHQ,0,,G02-00467,5,withhold,0,DENY,0,0,,1,1,0
A0488,F3,F_DW:E_F_DW,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0489,F3,F_SAL:E_F_SAL,0,,G05-00470,5,withhold,0,DENY,0,0,,1,1,0
A0490,F3,F_PAY:E_F_PAY,0,,G05-00470,5,withhold,0,DENY,0,0,,1,0,0
A0491,F3,S_DIV:E_S_DIV,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0492,F3,H_GRP:E_H_GRP,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0493,F3,F_SEC:E_F_SEC,0,,G05-00470,5,withhold,0,DENY,0,0,,1,0,0
A0494,F3,C_CC:E_C_CC,0,,G04-00084,5,withhold,0,DENY,0,0,,1,0,0
A0495,F3,S_DEP:E_S_DEP,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0496,F3,F_DW:E_F_DW,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0497,F3,H_HRO:E_H_HRO,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0498,F3,F_PAY:E_F_PAY,0,,G04-00084,5,withhold,0,DENY,0,0,,1,0,0
A0499,F4,S_ACC:E_S_ACC,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0500,F4,B_RHQ:E_B_RHQ,0,,G05-00470,5,withhold,0,DENY,0,0,,1,1,0
A0501,F4,C_CC:E_C_CC,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0502,F4,S_DEP:E_S_DEP,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0503,F4,C_CC:E_C_CC,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0504,F4,F_DW:E_F_DW,0,,G05-00083,5,withhold,0,DENY,0,0,,1,0,0
A0505,F4,H_HRO:E_H_HRO,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0506,F4,S_ACC:E_S_ACC,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0507,F4,B_RHQ:E_B_RHQ,0,,G02-00467,5,withhold,0,DENY,0,0,,1,1,0
A0508,F4,F_DW:E_F_DW,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0509,F4,F_SAL:E_F_SAL,0,,G05-00470,5,withhold,0,DENY,0,0,,1,1,0
A0510,F4,F_PAY:E_F_PAY,0,,G05-00470,5,withhold,0,DENY,0,0,,1,0,0
A0511,F4,S_DIV:E_S_DIV,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0512,F4,H_GRP:E_H_GRP,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0513,F4,F_SEC:E_F_SEC,0,,G05-00470,5,withhold,0,DENY,0,0,,1,0,0
A0514,F4,C_CC:E_C_CC,0,,G04-00084,5,withhold,0,DENY,0,0,,1,0,0
A0515,F5,S_ACC:E_S_ACC,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0516,F5,B_RHQ:E_B_RHQ,0,,G05-00470,5,withhold,0,DENY,0,0,,1,1,0
A0517,F5,C_CC:E_C_CC,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0518,F5,S_DEP:E_S_DEP,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0519,F5,C_CC:E_C_CC,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0520,F5,F_DW:E_F_DW,0,,G05-00083,5,withhold,0,DENY,0,0,,1,0,0
A0521,F5,H_HRO:E_H_HRO,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0522,F5,S_ACC:E_S_ACC,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0523,F5,B_RHQ:E_B_RHQ,0,,G02-00467,5,withhold,0,DENY,0,0,,1,1,0
A0524,F5,F_DW:E_F_DW,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0525,F5,F_SAL:E_F_SAL,0,,G05-00470,5,withhold,0,DENY,0,0,,1,1,0
A0526,F5,F_PAY:E_F_PAY,0,,G05-00470,5,withhold,0,DENY,0,0,,1,0,0
A0527,F5,S_DIV:E_S_DIV,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0528,F5,H_GRP:E_H_GRP,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0529,F5,F_SEC:E_F_SEC,0,,G05-00470,5,withhold,0,DENY,0,0,,1,0,0
A0530,F5,C_CC:E_C_CC,0,,G04-00084,5,withhold,0,DENY,0,0,,1,0,0
A0531,F5,S_DEP:E_S_DEP,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0532,F5,F_DW:E_F_DW,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0533,F5,H_HRO:E_H_HRO,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0534,F5,F_PAY:E_F_PAY,0,,G04-00084,5,withhold,0,DENY,0,0,,1,0,0
A0535,F6,S_ACC:E_S_ACC,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0536,F6,B_RHQ:E_B_RHQ,0,,G05-00470,5,withhold,0,DENY,0,0,,1,1,0
A0537,F6,C_CC:E_C_CC,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0538,F6,S_DEP:E_S_DEP,0,,G11-02300,5,withhold,0,DENY,0,0,,1,0,0
A0539,F6,C_CC:E_C_CC,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0540,F6,F_DW:E_F_DW,0,,G05-00083,5,withhold,0,DENY,0,0,,1,0,0
A0541,F6,H_HRO:E_H_HRO,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0542,F6,S_ACC:E_S_ACC,0,,G02-00467,5,withhold,0,DENY,0,0,,1,0,0
A0543,F6,B_RHQ:E_B_RHQ,0,,G02-00467,5,withhold,0,DENY,0,0,,1,1,0
A0544,F6,F_DW:E_F_DW,0,,G09-00935,5,withhold,0,DENY,0,0,,1,1,0
A0545,F6,F_SAL:E_F_SAL,0,,G05-00470,5,withhold,0,DENY,0,0,,1,1,0
A0546,F6,F_PAY:E_F_PAY,0,,G05-00470,5,withhold,0,DENY,0,0,,1,0,0
A0548,F7-diff-R1,F_SEC:E_F_SEC,2,PR0547,G08-00661,5,withhold,0,DENY,0,0,k_threshold:G08-00661,1,1,1
A0550,F7-diff-R2,F_SEC:E_F_SEC,2,PR0549,G08-00661,3,withhold,0,DENY,0,0,k_threshold:G08-00661,1,1,1
A0552,F7-diff-R1,F_SEC:E_F_SEC,2,PR0551,G08-00661,5,withhold,0,DENY,0,0,k_threshold:G08-00661,1,1,1
A0554,F7-diff-R2,F_SEC:E_F_SEC,2,PR0553,G08-00661,3,withhold,0,DENY,0,0,k_threshold:G08-00661,1,1,1
A0556,F7-diff-R1,F_SEC:E_F_SEC,2,PR0555,G08-00661,5,withhold,0,DENY,0,0,k_threshold:G08-00661,1,1,1
A0558,F7-diff-R2,F_SEC:E_F_SEC,2,PR0557,G08-00661,3,withhold,0,DENY,0,0,k_threshold:G08-00661,1,1,1
A0560,F7-diff-skip,H_HR:E_H_HR,2,PR0559,G08-00661,3,release,1,PERMIT,0,0,session_ledger:G08-00661,1,1,1
A0562,F7-join,B_RHQ:E_B_RHQ,1,PR0561,G05-02596,5,withhold,0,DENY,0,0,k_threshold:G05-02596,1,1,1
A0563,F7-join,B_RHQ:E_B_RHQ,2,PR0561,G02-02597,5,withhold,0,DENY,0,0,,1,1,0
A0565,F7-join,B_RHQ:E_B_RHQ,1,PR0564,G02-02597,5,withhold,0,DENY,0,0,,1,1,0
A0566,F7-join,B_RHQ:E_B_RHQ,2,PR0564,G05-02596,5,withhold,0,DENY,0,0,k_threshold:G05-02596,1,1,1
A0568,F7-join-skip,B_BR:E_B_BR,1,PR0567,G05-02596,5,release,1,PERMIT,0,0,session_ledger:G05-02596,1,1,1
A0569,F7-join-skip,B_BR:E_B_BR,2,PR0567,G02-02597,5,release,1,PERMIT,0,0,mask_pii:G02-02597|session_ledger:G02-02597,1,1,1
A0571,F7-neg,F_PAY:E_F_PAY,1,PR0570,G09-00599,5,release,1,PERMIT,0,0,session_ledger:G09-00599,1,1,1
A0572,F7-neg,F_PAY:E_F_PAY,2,PR0570,G09-00602,5,release,1,PERMIT,0,0,session_ledger:G09-00602,1,1,1
