query_id,split,family,persona,fid,gt,gt_rule,mlp_rel,path
Q0220,standard,,H_HR:E_H_HR,G12-02475,withhold,R3,0,grid:V
Q0221,standard,,F_PAY:E_F_PAY,G12-02475,withhold,R3,0,grid:V
Q0222,standard,,F_CMP:E_F_CMP,G12-02475,withhold,R3,0,grid:V
Q0223,standard,,F_DW:E_F_DW,G12-02486,release,R3,1,grid:V
Q0224,standard,,F_DW:E_F_DW,G12-02578,release,R3,1,grid:V
Q0225,standard,,H_HR:E_H_HR,G12-02554,withhold,R3,0,grid:V
Q0226,standard,,H_HR:E_H_HR,G12-02589,withhold,R3,0,grid:V
Q0227,standard,,F_PAY:E_F_PAY,G12-02539,withhold,R3,0,grid:V
Q0228,standard,,F_PAY:E_F_PAY,G12-02507,withhold,R3,0,grid:V
Q0229,standard,,F_CMP:E_F_CMP,G12-02476,withhold,R3,0,grid:V
Q0230,standard,,F_CMP:E_F_CMP,G12-02512,withhold,R3,0,grid:V
P0231,paraphrase,polite,H_HR:E_H_HR,G09-00602,release,R3,1,grid:H
P0232,paraphrase,reorder,H_HR:E_H_HR,G09-00602,release,R3,1,grid:H
P0233,paraphrase,polite,H_HR:E_H_HR,G09-00773,release,R3,1,grid:H
P0234,paraphrase,reorder,H_HR:E_H_HR,G09-00773,release,R3,1,grid:H
P0235,paraphrase,polite,F_PAY:E_F_PAY,G09-00752,release,R3,1,grid:V
P0236,paraphrase,reorder,F_PAY:E_F_PAY,G09-00752,release,R3,1,grid:V
P0237,paraphrase,polite,F_PAY:E_F_PAY,G09-00803,release,R3,1,grid:V
P0238,paraphrase,reorder,F_PAY:E_F_PAY,G09-00803,release,R3,1,grid:V
P0239,paraphrase,polite,F_CMP:E_F_CMP,G09-00785,release,R3,1,grid:V
P0240,paraphrase,reorder,F_CMP:E_F_CMP,G09-00785,release,R3,1,grid:V
P0241,paraphrase,polite,F_CMP:E_F_CMP,G09-00599,release,R3,1,grid:V
P0242,paraphrase,reorder,F_CMP:E_F_CMP,G09-00599,release,R3,1,grid:V
P0243,paraphrase,polite,H_HR:E_H_HR,G09-01025,release,R3,1,grid:H
P0244,paraphrase,reorder,H_HR:E_H_HR,G09-01025,release,R3,1,grid:H
P0245,paraphrase,polite,H_HR:E_H_HR,G09-01017,release,R3,1,grid:H
P0246,paraphrase,reorder,H_HR:E_H_HR,G09-01017,release,R3,1,grid:H
P0247,paraphrase,polite,F_PAY:E_F_PAY,G09-00965,release,R3,1,grid:V
P0248,paraphrase,reorder,F_PAY:E_F_PAY,G09-00965,release,R3,1,grid:V
P0249,paraphrase,polite,F_PAY:E_F_PAY,G09-01005,release,R3,1,grid:V
P0250,paraphrase,reorder,F_PAY:E_F_PAY,G09-01005,release,R3,1,grid:V
P0251,paraphrase,polite,F_CMP:E_F_CMP,G09-01013,release,R3,1,grid:V
P0252,paraphrase,reorder,F_CMP:E_F_CMP,G09-01013,release,R3,1,grid:V
P0253,paraphrase,polite,F_CMP:E_F_CMP,G09-00969,release,R3,1,grid:V
P0254,paraphrase,reorder,F_CMP:E_F_CMP,G09-00969,release,R3,1,grid:V
P0255,paraphrase,polite,F_CMP:E_F_CMP,G08-00601,release,R3,1,grid:V
P0256,paraphrase,reorder,F_CMP:E_F_CMP,G08-00601,release,R3,1,grid:V
P0257,paraphrase,polite,F_CMP:E_F_CMP,G08-00745,release,R3,1,grid:V
P0258,paraphrase,reorder,F_CMP:E_F_CMP,G08-00745,release,R3,1,grid:V
P0259,paraphrase,polite,H_HR:E_H_HR,G08-00601,release,R3,1,grid:V
P0260,paraphrase,reorder,H_HR:E_H_HR,G08-00601,release,R3,1,grid:V
P0261,paraphrase,polite,H_HR:E_H_HR,G08-00721,release,R3,1,grid:V
P0262,paraphrase,reorder,H_HR:E_H_HR,G08-00721,release,R3,1,grid:V
P0263,paraphrase,polite,F_PAY:E_F_PAY,G08-00736,release,R3,1,grid:V
P0264,paraphrase,reorder,F_PAY:E_F_PAY,G08-00736,release,R3,1,grid:V
P0265,paraphrase,polite,F_PAY:E_F_PAY,G08-00712,release,R3,1,grid:V
P0266,paraphrase,reorder,F_PAY:E_F_PAY,G08-00712,release,R3,1,grid:V
P0267,paraphrase,polite,F_SEC:E_F_SEC,G08-00760,release,R3,1,grid:V
P0268,paraphrase,reorder,F_SEC:E_F_SEC,G08-00760,release,R3,1,grid:V
P0269,paraphrase,polite,F_SEC:E_F_SEC,G08-00691,release,R3,1,grid:V
P0270,paraphrase,reorder,F_SEC:E_F_SEC,G08-00691,release,R3,1,grid:V
P0271,paraphrase,polite,F_CMP:E_F_CMP,G08-01036,release,R3,1,grid:V
P0272,paraphrase,reorder,F_CMP:E_F_CMP,G08-01036,release,R3,1,grid:V
P0273,paraphrase,polite,F_CMP:E_F_CMP,G08-01046,release,R3,1,grid:V
P0274,paraphrase,reorder,F_CMP:E_F_CMP,G08-01046,release,R3,1,grid:V
P0275,paraphrase,polite,H_HR:E_H_HR,G08-00972,release,R3,1,grid:V
P0276,paraphrase,reorder,H_HR:E_H_HR,G08-00972,release,R3,1,grid:V
P0277,paraphrase,polite,H_HR:E_H_HR,G08-00940,release,R3,1,grid:V
P0278,paraphrase,reorder,H_HR:E_H_HR,G08-00940,release,R3,1,grid:V
P0279,paraphrase,polite,F_PAY:E_F_PAY,G08-01020,release,R3,1,grid:V
P0280,paraphrase,reorder,F_PAY:E_F_PAY,G08-01020,release,R3,1,grid:V
P0281,paraphrase,polite,F_PAY:E_F_PAY,G08-00940,release,R3,1,grid:V
P0282,paraphrase,reorder,F_PAY:E_F_PAY,G08-00940,release,R3,1,grid:V
P0283,paraphrase,polite,F_SAL:E_F_SAL,G05-00208,release,R3,1,grid:V
P0284,paraphrase,reorder,F_SAL:E_F_SAL,G05-00208,release,R3,1,grid:V
P0285,paraphrase,polite,F_SAL:E_F_SAL,G05-00318,release,R3,1,grid:V
P0286,paraphrase,reorder,F_SAL:E_F_SAL,G05-00318,release,R3,1,grid:V
P0287,paraphrase,polite,F_CMP:E_F_CMP,G05-00148,release,R3,1,grid:V
P0288,paraphrase,reorder,F_CMP:E_F_CMP,G05-00148,release,R3,1,grid:V
P0289,paraphrase,polite,F_CMP:E_F_CMP,G05-00143,release,R3,1,grid:V
P0290,paraphrase,reorder,F_CMP:E_F_CMP,G05-00143,release,R3,1,grid:V
P0291,paraphrase,polite,F_CMP:E_F_CMP,G05-00555,release,R3,1,grid:V
P0292,paraphrase,reorder,F_CMP:E_F_CMP,G05-00555,release,R3,1,grid:V
P0293,paraphrase,polite,F_CMP:E_F_CMP,G05-00537,release,R3,1,grid:V
P0294,paraphrase,reorder,F_CMP:E_F_CMP,G05-00537,release,R3,1,grid:V
P0295,paraphrase,polite,C_CC:E_C_CC,G02-00177,release,R3,1,grid:V
P0296,paraphrase,reorder,C_CC:E_C_CC,G02-00177,release,R3,1,grid:V
P0297,paraphrase,polite,C_CC:E_C_CC,G02-00252,release,R3,1,grid:V
P0298,paraphrase,reorder,C_CC:E_C_CC,G02-00252,release,R3,1,grid:V
P0299,paraphrase,polite,F_CMP:E_F_CMP,G02-00217,release,R3,1,grid:V
P0300,paraphrase,reorder,F_CMP:E_F_CMP,G02-00217,release,R3,1,grid:V
P0301,paraphrase,polite,F_CMP:E_F_CMP,G02-00082,release,R3,1,grid:V
P0302,paraphrase,reorder,F_CMP:E_F_CMP,G02-00082,release,R3,1,grid:V
P0303,paraphrase,polite,F_CMP:E_F_CMP,G02-00523,release,R3,1,grid:V
P0304,paraphrase,reorder,F_CMP:E_F_CMP,G02-00523,release,R3,1,grid:V
P0305,paraphrase,polite,F_CMP:E_F_CMP,G02-00510,release,R3,1,grid:V
P0306,paraphrase,reorder,F_CMP:E_F_CMP,G02-00510,release,R3,1,grid:V
P0307,paraphrase,polite,S_ACC:E_S_ACC,G01-00000,release,R3,1,grid:V
P0308,paraphrase,reorder,S_ACC:E_S_ACC,G01-00000,release,R3,1,grid:V
P0309,paraphrase,polite,B_BR:E_B_BR,G01-00000,release,R3,0,grid:V
P0310,paraphrase,reorder,B_BR:E_B_BR,G01-00000,release,R3,0,grid:V
P0311,paraphrase,polite,H_HR:E_H_HR,G01-00000,release,R3,1,grid:V
P0312,paraphrase,reorder,H_HR:E_H_HR,G01-00000,release,R3,1,grid:V
P0313,paraphrase,polite,F_PAY:E_F_PAY,G01-00000,release,R3,1,grid:V
P0314,paraphrase,reorder,F_PAY:E_F_PAY,G01-00000,release,R3,1,grid:V
P0315,paraphrase,polite,F_CMP:E_F_CMP,G01-00000,release,R3,1,grid:V
P0316,paraphrase,reorder,F_CMP:E_F_CMP,G01-00000,release,R3,1,grid:V
P0317,paraphrase,polite,S_ACC:E_S_ACC,G01-00028,release,R3,1,grid:V
P0318,paraphrase,reorder,S_ACC:E_S_ACC,G01-00028,release,R3,1,grid:V
P0319,paraphrase,polite,S_ACC:E_S_ACC,G01-00053,release,R3,1,grid:V
P0320,paraphrase,reorder,S_ACC:E_S_ACC,G01-00053,release,R3,1,grid:V
P0321,paraphrase,polite,B_RHQ:E_B_RHQ,G01-00029,release,R3,0,grid:V
P0322,paraphrase,reorder,B_RHQ:E_B_RHQ,G01-00029,release,R3,0,grid:V
P0323,paraphrase,polite,B_RHQ:E_B_RHQ,G01-00007,release,R3,0,grid:V
P0324,paraphrase,reorder,B_RHQ:E_B_RHQ,G01-00007,release,R3,0,grid:V
P0325,paraphrase,polite,H_HR:E_H_HR,G01-00004,release,R3,1,grid:V
P0326,paraphrase,reorder,H_HR:E_H_HR,G01-00004,release,R3,1,grid:V
